_id,name,city,state,zipCode,phone,rating,noOfPatients,serviceType,specialty,inNetwork,distance
D49483-003,Dr. Tyrone Klimkowski,Toledo,Ohio,43666,+1 419 524 3117,1.6,14,dental,Dentist,TRUE,2.9
D0496-0752,Dr. Shayne Breston,Tucson,Arizona,85705,+1 520 916 7554,3.8,23,dental,Endodontist,TRUE,2.2
D13925-121,Dr. Wynny Gridon,Pensacola,Florida,32595,+1 850 440 9044,2.9,28,dental,Maxillofacial Surgeon,FALSE,3
D59627-001,Dr. Lisha Pawlick,Indianapolis,Indiana,46247,+1 317 343 0454,4.9,11,dental,Oral Surgeon,TRUE,1.5
D31722-268,Dr. Cyndi Kenworth,Montgomery,Alabama,36119,+1 334 223 6802,2.7,2,dental,Orthodontist,FALSE,2
D13537-276,Dr. Rich Kembrey,Baltimore,Maryland,21203,+1 443 442 7457,4.7,15,dental,Pediatric Dentist,TRUE,2.6
D57237-013,Dr. Diann Ahearne,Miami,Florida,33111,+1 786 475 4515,1.4,20,dental,Periodontist,FALSE,3
D0093-7436,Dr. Devina Bettlestone,Lansing,Michigan,48919,+1 517 398 6654,4.1,40,dental,Prosthodontist,FALSE,1.4
D0054-4741,Dr. Esta Loges,Seattle,Washington,98175,+1 206 593 4991,3.9,34,dental,Dentist,FALSE,3.4
D0113-0359,Dr. Jeannine Dickie,Atlanta,Georgia,30301,+1 678 505 0331,4.8,18,dental,Endodontist,TRUE,2.4
D49643-328,Dr. Lucio Berks,Phoenix,Arizona,85010,+1 602 135 6799,2,28,dental,Maxillofacial Surgeon,TRUE,3.4
D0904-5186,Dr. Marita McIllrick,Johnson City,Tennessee,37605,+1 423 503 4300,3.3,8,dental,Oral Surgeon,TRUE,3.8
D52686-291,Dr. Peyter Margrem,Rochester,New York,14614,+1 315 734 5761,1.5,15,dental,Orthodontist,TRUE,1.2
D51850-002,Dr. Walther FitzGilbert,Myrtle Beach,South Carolina,29579,+1 843 358 8532,2.6,11,dental,Pediatric Dentist,FALSE,2.9
D63629-4939,Dr. Dix Scotland,Roanoke,Virginia,24020,+1 540 259 1561,1.3,13,dental,Periodontist,TRUE,1.4
D66424-045,Dr. Osborn Moen,Madison,Wisconsin,53710,+1 608 872 0875,4.3,15,dental,Prosthodontist,TRUE,1.5
D10812-814,Dr. Geoff Meldon,Everett,Washington,98206,+1 425 295 0560,2.5,31,dental,Dentist,TRUE,3.6
D0591-5325,Dr. Buddy Bellham,Las Vegas,Nevada,89160,+1 702 851 3739,4.1,34,dental,Endodontist,FALSE,2.5
D11523-7316,Dr. Elliott Zecchii,Greeley,Colorado,80638,+1 970 804 6445,2.9,49,dental,Maxillofacial Surgeon,TRUE,2.5
D0187-0938,Dr. Elmore Babidge,Allentown,Pennsylvania,18105,+1 610 931 4365,1.6,7,dental,Oral Surgeon,TRUE,2.5
D53113-218,Dr. Eartha Silberschatz,Falls Church,Virginia,22047,+1 571 539 4460,1,31,dental,Orthodontist,TRUE,1.6
D68180-482,Dr. Clayborn Bellsham,Cedar Rapids,Iowa,52410,+1 319 801 4264,1.9,10,dental,Pediatric Dentist,TRUE,4
D55154-5151,Dr. Vannie Wherry,Columbia,Missouri,65211,+1 573 290 4680,2.2,35,dental,Periodontist,FALSE,3.4
D57664-435,Dr. Arden De Biasi,Spokane,Washington,99210,+1 509 734 0233,4.2,17,dental,Prosthodontist,TRUE,2.2
D63736-219,Dr. Derrik Stoodley,Hartford,Connecticut,6120,+1 860 765 7496,1.1,6,dental,Dentist,TRUE,3.8
D51393-4008,Dr. Mabel Collie,San Francisco,California,94110,+1 415 826 3493,1.3,7,dental,Endodontist,FALSE,2.6
D30142-296,Dr. Della Gruby,Green Bay,Wisconsin,54313,+1 920 891 6285,2.5,19,dental,Maxillofacial Surgeon,FALSE,1.9
D0228-2751,Dr. Kevan Franklin,Phoenix,Arizona,85072,+1 602 427 0839,2.1,10,dental,Oral Surgeon,FALSE,1.7
D65862-230,Dr. Sterne Bayns,Tucson,Arizona,85748,+1 520 697 6872,2.6,48,dental,Orthodontist,TRUE,2.6
D31722-222,Dr. Neils Lorain,North Las Vegas,Nevada,89036,+1 702 462 1104,1.7,37,dental,Pediatric Dentist,TRUE,2.3
D35356-386,Dr. Joyan Lukianovich,Houston,Texas,77240,+1 713 754 6969,4.4,48,dental,Periodontist,TRUE,1.7
D59115-147,Dr. Corby Shergold,Bakersfield,California,93311,+1 805 998 5878,4.7,4,dental,Prosthodontist,FALSE,1.3
D66129-540,Dr. Prue Philbin,Montgomery,Alabama,36195,+1 334 711 9543,2.6,16,dental,Dentist,TRUE,1.6
D49288-0461,Dr. Ashly Gasking,El Paso,Texas,88514,+1 915 479 5986,3.1,10,dental,Endodontist,FALSE,1.3
D42908-075,Dr. Geoffrey Alders,Roanoke,Virginia,24048,+1 540 409 3441,1.1,5,dental,Maxillofacial Surgeon,TRUE,4
D48951-2063,Dr. Jacquelynn Ridges,Inglewood,California,90398,+1 310 324 3372,4.5,39,dental,Oral Surgeon,FALSE,3.5
D16729-023,Dr. Hunfredo Le Floch,High Point,North Carolina,27264,+1 336 193 3940,3,3,dental,Orthodontist,TRUE,2.4
D0781-3402,Dr. Owen Pickervance,Winston Salem,North Carolina,27110,+1 336 845 9549,4.2,41,dental,Pediatric Dentist,TRUE,2.4
D62206-4654,Dr. Elinor Sedgeworth,Saint Louis,Missouri,63104,+1 314 603 3614,4.2,36,dental,Periodontist,FALSE,4
D55289-824,Dr. Violette Pinkett,Van Nuys,California,91499,+1 213 360 4683,2.3,48,dental,Prosthodontist,TRUE,3.8
D54868-4873,Dr. Vernen Lucey,Saint Louis,Missouri,63136,+1 314 857 2350,4.3,20,dental,Dentist,FALSE,1.6
D49035-000,Dr. Thelma Allpress,Spring,Texas,77386,+1 713 630 8165,4.3,30,dental,Endodontist,TRUE,4
D61957-0007,Dr. Orelle Slamaker,Tallahassee,Florida,32309,+1 850 583 6495,1.8,21,dental,Maxillofacial Surgeon,TRUE,1.8
D68089-004,Dr. Joachim Wathey,Las Vegas,Nevada,89110,+1 702 855 8066,3.9,26,dental,Oral Surgeon,FALSE,2.2
D0536-0015,Dr. Gorden Haxby,Denton,Texas,76205,+1 940 596 1835,3.2,28,dental,Orthodontist,FALSE,1.2
D52125-220,Dr. Timi Taill,Allentown,Pennsylvania,18105,+1 610 803 8308,4.6,42,dental,Pediatric Dentist,FALSE,3.4
D50436-3435,Dr. Ryon Coatham,Charleston,West Virginia,25389,+1 304 377 8447,1.2,31,dental,Periodontist,TRUE,2.2
D54868-5989,Dr. Hilliard Sherratt,Scranton,Pennsylvania,18505,+1 570 814 5718,2.6,35,dental,Prosthodontist,FALSE,2.3
D52685-450,Dr. Bunny Storcke,El Paso,Texas,88525,+1 915 766 7180,4.2,30,dental,Dentist,TRUE,3.7
D62839-1345,Dr. Verene Parlour,Providence,Rhode Island,2912,+1 401 559 1022,1.6,15,dental,Endodontist,FALSE,2.7
D0093-0233,Dr. Jody Rofe,San Jose,California,95194,+1 408 380 9547,3.5,42,dental,Maxillofacial Surgeon,TRUE,2.7
D57520-0493,Dr. Aeriell Hadaway,Amarillo,Texas,79188,+1 806 118 9258,2.5,34,dental,Oral Surgeon,FALSE,1
D76439-141,Dr. Laurens Davidwitz,Rockford,Illinois,61105,+1 815 162 8848,3.1,13,dental,Orthodontist,TRUE,2.3
D0067-6025,Dr. Maurits Lashmore,Greensboro,North Carolina,27409,+1 336 647 3065,1.7,28,dental,Pediatric Dentist,FALSE,2.5
D0093-2203,Dr. Rochell Drain,Atlanta,Georgia,30336,+1 404 969 6652,2.6,9,dental,Periodontist,FALSE,1.5
D63629-1254,Dr. Dex Clarey,Arlington,Virginia,22217,+1 571 145 5839,2.9,22,dental,Prosthodontist,TRUE,1.8
D63922-222,Dr. Noelle Euplate,Atlanta,Georgia,31165,+1 404 106 6610,4.2,41,dental,Dentist,TRUE,2.5
D0573-1191,Dr. Alfred Atley,Cincinnati,Ohio,45296,+1 513 174 5008,4.2,47,dental,Endodontist,TRUE,3.3
D68428-112,Dr. Levi O'Scollee,Las Vegas,Nevada,89150,+1 702 658 8581,3.5,34,dental,Maxillofacial Surgeon,FALSE,1.9
D60429-103,Dr. Caesar Maudling,Bonita Springs,Florida,34135,+1 941 451 4014,4.1,48,dental,Oral Surgeon,TRUE,3.8
D64725-0136,Dr. Roch Jemmett,Cleveland,Ohio,44111,+1 216 660 6819,3.6,20,dental,Endodontist,FALSE,3.3
D24909-606,Dr. Garreth Kimmons,Baton Rouge,Louisiana,70836,+1 225 749 9213,4.6,17,dental,Maxillofacial Surgeon,FALSE,1.9
D0378-7003,Dr. Valry D'Adamo,Evansville,Indiana,47719,+1 812 670 2853,1.4,35,dental,Oral Surgeon,FALSE,2.2
D41520-678,Dr. Deena Attwell,El Paso,Texas,88589,+1 915 779 8593,3,45,dental,Orthodontist,FALSE,1
D10742-8223,Dr. Bart Patron,Dallas,Texas,75226,+1 214 406 1802,2.6,37,dental,Pediatric Dentist,TRUE,3.5
D42508-138,Dr. Klemens Marke,Spokane,Washington,99215,+1 509 398 7824,4.5,48,dental,Periodontist,TRUE,3.2
D37000-253,Dr. Natividad Zappel,Atlanta,Georgia,31196,+1 404 199 8581,1.9,44,dental,Prosthodontist,TRUE,2.5
D63187-111,Dr. Irene Dunnico,Ashburn,Virginia,22093,+1 571 671 5310,1.5,3,dental,Dentist,FALSE,2.5
D37000-137,Dr. Tobey Luto,Fort Lauderdale,Florida,33355,+1 754 335 4942,3,33,dental,Endodontist,TRUE,1.2
D49349-975,Dr. Cornie Burgiss,Washington,District of Columbia,20215,+1 202 427 4463,2.9,33,dental,Maxillofacial Surgeon,FALSE,3.9
D68084-504,Dr. Tabb Orpyne,Brea,California,92822,+1 818 136 3716,1.6,14,dental,Oral Surgeon,TRUE,1.5
D49349-448,Dr. Rodney McDarmid,Redwood City,California,94064,+1 650 798 5008,2,34,dental,Orthodontist,TRUE,4
D59899-003,Dr. Stanton Ebbett,Orlando,Florida,32854,+1 407 863 9199,1.8,45,dental,Pediatric Dentist,TRUE,3.3
D55714-1713,Dr. Marita Gout,Wichita,Kansas,67215,+1 316 713 9708,4.5,6,dental,Periodontist,TRUE,3.7
D0781-5043,Dr. Reggy Fosse,New York City,New York,10203,+1 212 452 1900,1.5,49,dental,Prosthodontist,FALSE,1.2
D68428-058,Dr. Saunders McCraw,San Jose,California,95128,+1 408 864 8120,1.3,34,dental,Dentist,FALSE,3.9
D59667-0107,Dr. Kylynn Ames,Ogden,Utah,84403,+1 801 240 8853,3.9,43,dental,Endodontist,TRUE,3.8
D10812-509,Dr. Andra Hinz,Brooklyn,New York,11247,+1 212 390 6223,2.5,37,dental,Maxillofacial Surgeon,TRUE,3.6
D52685-322,Dr. Tandy Faucett,Boise,Idaho,83722,+1 208 892 9509,1.7,20,dental,Oral Surgeon,TRUE,3.4
D55312-926,Dr. Shadow Demko,Jacksonville,Florida,32277,+1 904 398 6652,2.5,14,dental,Endodontist,FALSE,1.2
D65044-6587,Dr. Annadiana Trobey,Boise,Idaho,83722,+1 208 675 4696,3.8,5,dental,Maxillofacial Surgeon,FALSE,1.8
D0363-0551,Dr. Reamonn Temperley,Orlando,Florida,32854,+1 407 269 7048,2.6,31,dental,Oral Surgeon,FALSE,1.3
D68788-9904,Dr. Richard Trevena,Dallas,Texas,75226,+1 903 511 2321,1.4,25,dental,Orthodontist,FALSE,2
D0574-4005,Dr. Glory Grenshields,Atlanta,Georgia,30386,+1 404 320 1199,4.3,23,dental,Pediatric Dentist,TRUE,3.1
D36987-2252,Dr. Johnnie Josum,Washington,District of Columbia,20067,+1 202 982 9314,3.1,24,dental,Periodontist,TRUE,1.4
D52686-262,Dr. Raffaello Sommersett,Longview,Texas,75605,+1 903 687 3852,2.2,40,dental,Prosthodontist,TRUE,4
D0597-0042,Dr. Jone Olyfat,Boston,Massachusetts,2119,+1 508 175 7487,2.4,48,dental,Dentist,TRUE,2.8
D0093-7600,Dr. Valentijn Rosser,Sioux City,Iowa,51110,+1 712 310 4920,3.7,35,dental,Endodontist,TRUE,1.5
D0093-5206,Dr. Ash Chaster,Saint Petersburg,Florida,33742,+1 727 795 8285,2.6,50,dental,Maxillofacial Surgeon,FALSE,1.5
D59779-027,Dr. Noble Kegg,Portsmouth,New Hampshire,3804,+1 603 873 1225,1.8,6,dental,Oral Surgeon,TRUE,1.5
D0113-0763,Dr. Sax Hover,Savannah,Georgia,31405,+1 912 847 7297,2.2,38,dental,Orthodontist,TRUE,2.8
D47593-279,Dr. Pauletta Carnilian,El Paso,Texas,88569,+1 915 971 1510,2.6,21,dental,Pediatric Dentist,TRUE,1.7
D51672-4041,Dr. Valentine Murney,San Bernardino,California,92424,+1 909 376 1659,1.9,47,dental,Periodontist,TRUE,2.3
D54973-3014,Dr. Becki Jakobssen,Columbus,Ohio,43215,+1 614 128 1014,2.9,35,dental,Prosthodontist,TRUE,2.1
D55312-437,Dr. Dolf Fenimore,Washington,District of Columbia,20442,+1 202 475 7141,4.8,24,dental,Dentist,FALSE,2.8
D52015-080,Dr. Maximo Winsome,Anniston,Alabama,36205,+1 256 976 0892,3.8,42,dental,Endodontist,FALSE,2
D68382-444,Dr. Liesa Allan,San Antonio,Texas,78210,+1 210 784 1024,2.1,28,dental,Maxillofacial Surgeon,TRUE,1.8
D0268-6672,Dr. Pearce Cousen,Battle Creek,Michigan,49018,+1 269 333 3751,3.7,5,dental,Oral Surgeon,TRUE,1.9
D36987-3261,Dr. Killian Gimson,San Diego,California,92170,+1 619 503 1768,4.8,38,dental,Endodontist,TRUE,2.9
D44911-0068,Dr. Maxine O'Shevlin,Raleigh,North Carolina,27658,+1 919 826 9114,5,48,dental,Endodontist,TRUE,3.7
D68001-222,Dr. Jacquenette Cortnay,Fort Lauderdale,Florida,33355,+1 754 825 4761,4.3,50,dental,Maxillofacial Surgeon,TRUE,3.4
D29300-187,Dr. Kalina Climson,Hialeah,Florida,33018,+1 786 829 1307,4.4,14,dental,Oral Surgeon,FALSE,1.2
D0225-0495,Dr. Desiree Meade,Vienna,Virginia,22184,+1 571 300 7099,3.6,22,dental,Orthodontist,FALSE,3
D44924-013,Dr. Kiersten Ierland,Sacramento,California,94263,+1 916 349 9213,4.5,49,dental,Pediatric Dentist,TRUE,2.2
D60232-2500,Dr. Eamon Gibbard,Miami,Florida,33153,+1 786 655 9429,2.5,18,dental,Periodontist,FALSE,3.2
D0268-6610,Dr. Juan Shopcott,Memphis,Tennessee,38181,+1 901 152 4715,2.9,4,dental,Prosthodontist,TRUE,3.9
D59779-084,Dr. Linnet Jean,Tuscaloosa,Alabama,35405,+1 205 926 7419,1.6,20,dental,Dentist,FALSE,1
D16571-120,Dr. Huberto Connerly,Portland,Oregon,97206,+1 503 907 3167,2,45,dental,Endodontist,FALSE,1.5
D68788-2212,Dr. Vale Matzaitis,Charlotte,North Carolina,28205,+1 704 572 1561,1.7,36,dental,Maxillofacial Surgeon,TRUE,2.7
D65044-9955,Dr. Angie Portal,Macon,Georgia,31296,+1 478 791 3348,4.7,43,dental,Oral Surgeon,TRUE,1.3
D67684-1901,Dr. Nehemiah Rosenhaus,Birmingham,Alabama,35285,+1 205 125 6162,4.1,21,dental,Orthodontist,FALSE,3.8
D53045-205,Dr. Ericha Leon,Washington,District of Columbia,20268,+1 202 758 3168,2,18,dental,Pediatric Dentist,FALSE,3.6
D66184-529,Dr. Krista Blackman,Montgomery,Alabama,36109,+1 334 444 0384,3.2,1,dental,Periodontist,TRUE,2.6
D63739-554,Dr. Lin Tearny,Battle Creek,Michigan,49018,+1 269 383 1951,1.7,48,dental,Prosthodontist,FALSE,3.7
D50419-250,Dr. Hadrian Stolli,Chicago,Illinois,60652,+1 312 867 5731,1.6,33,dental,Dentist,TRUE,2.6
D33261-699,Dr. Caterina Snelgrove,New Haven,Connecticut,6533,+1 203 731 9826,3,5,dental,Endodontist,TRUE,2.4
D76426-010,Dr. Korry Fettiplace,Pittsburgh,Pennsylvania,15261,+1 412 538 6395,1.2,17,dental,Maxillofacial Surgeon,FALSE,3.3
D55111-207,Dr. Klarrisa Trahearn,Waterbury,Connecticut,6721,+1 203 918 2113,4.4,35,dental,Oral Surgeon,FALSE,3.4
D53407-155,Dr. Zebulon Jickles,Harrisburg,Pennsylvania,17110,+1 717 544 0357,1.2,33,dental,Endodontist,FALSE,1.8
D61703-325,Dr. Bernarr Cettell,Washington,District of Columbia,20337,+1 202 285 9879,2.7,3,dental,Maxillofacial Surgeon,TRUE,1.3
D64997-150,Dr. Sayers Lashbrook,Tampa,Florida,33615,+1 813 369 4459,5,20,dental,Oral Surgeon,TRUE,2.3
D60905-0021,Dr. Ulrica Fold,Boise,Idaho,83722,+1 208 691 3374,4.4,12,dental,Orthodontist,FALSE,3.9
D76270-114,Dr. Mame Lawrenceson,Baton Rouge,Louisiana,70883,+1 225 544 6559,3.7,49,dental,Pediatric Dentist,FALSE,3.7
D11673-106,Dr. Laurie Dranfield,Denver,Colorado,80217,+1 303 792 4614,4,49,dental,Periodontist,FALSE,3.1
D68016-010,Dr. Patty Scargill,Pensacola,Florida,32505,+1 850 323 5527,3.8,23,dental,Prosthodontist,FALSE,2.4
D58180-201,Dr. Dillon Sneden,San Antonio,Texas,78260,+1 830 716 1171,3.2,17,dental,Dentist,TRUE,1.2
D13537-452,Dr. Nananne Keese,Philadelphia,Pennsylvania,19178,+1 215 929 7280,2.5,18,dental,Endodontist,TRUE,2
D0052-0273,Dr. Christian Zouch,Daytona Beach,Florida,32128,+1 386 855 9880,3,40,dental,Maxillofacial Surgeon,TRUE,1.7
D60760-266,Dr. Cicily Fairall,Springfield,Illinois,62776,+1 217 973 1374,2.4,26,dental,Oral Surgeon,TRUE,2.1
D58657-420,Dr. Dayle Dawbury,Grand Rapids,Michigan,49505,+1 616 767 5715,4.8,44,dental,Orthodontist,FALSE,3.3
D62750-037,Dr. Nerty Zarb,Flint,Michigan,48555,+1 810 175 3498,3.4,14,dental,Pediatric Dentist,FALSE,3.8
D45802-050,Dr. Nappie Treker,Young America,Minnesota,55564,+1 952 595 4807,3.3,15,dental,Periodontist,TRUE,2.8
D57728-0001,Dr. Tally Crampin,Peoria,Arizona,85383,+1 928 986 1528,1.3,26,dental,Prosthodontist,TRUE,2.7
D52125-656,Dr. Valene Cellone,Springfield,Massachusetts,1129,+1 413 780 2944,1.5,10,dental,Dentist,TRUE,1.2
D36987-1256,Dr. Brandyn Frankom,Detroit,Michigan,48211,+1 810 152 0378,1.1,2,dental,Endodontist,TRUE,3.6
D0591-5619,Dr. Prue Anersen,Austin,Texas,78783,+1 512 692 2146,2.8,50,dental,Maxillofacial Surgeon,TRUE,2.2
D50436-6301,Dr. Dirk Dykas,Mesquite,Texas,75185,+1 214 528 5490,1.9,50,dental,Oral Surgeon,TRUE,3.6
D48951-8210,Dr. Marline McQuie,Lincoln,Nebraska,68583,+1 402 457 0620,3.5,50,dental,Endodontist,TRUE,3.8
D57353-103,Dr. Egbert Coldbreath,Ann Arbor,Michigan,48107,+1 734 113 0552,4.7,20,dental,Maxillofacial Surgeon,TRUE,1.6
D0409-7337,Dr. Webb Weerdenburg,Fargo,North Dakota,58122,+1 701 169 1954,5,48,dental,Oral Surgeon,TRUE,3.1
D54868-3952,Dr. Ulises Thunnercliff,Minneapolis,Minnesota,55428,+1 612 243 0452,1.6,46,dental,Orthodontist,FALSE,2.7
D10056-276,Dr. Pamella Flucker,Madison,Wisconsin,53779,+1 608 461 9220,3.5,31,dental,Pediatric Dentist,FALSE,2.2
D63868-125,Dr. Jaquith Solomon,Maple Plain,Minnesota,55579,+1 952 548 9425,4.8,9,dental,Periodontist,TRUE,3.8
D68788-9754,Dr. Dominic Fingleton,Sacramento,California,95823,+1 510 531 4973,4.6,25,dental,Prosthodontist,TRUE,2.1
D55118-990,Dr. Howie Minnock,Anchorage,Alaska,99599,+1 907 558 5269,1.7,24,dental,Dentist,TRUE,1.1
D52125-065,Dr. Cally Huggens,Young America,Minnesota,55557,+1 952 306 2856,3.1,16,dental,Endodontist,TRUE,2.7
D64370-532,Dr. Yorke Rumney,Colorado Springs,Colorado,80915,+1 719 465 3436,3.2,44,dental,Maxillofacial Surgeon,TRUE,1.2
D58232-0025,Dr. Manya Joselevitch,Tampa,Florida,33661,+1 813 595 8459,1.7,39,dental,Oral Surgeon,TRUE,1.1
D51060-035,Dr. Chastity MacAleese,Kansas City,Missouri,64193,+1 816 885 2880,4.5,45,dental,Orthodontist,TRUE,2.4
D60505-0839,Dr. Carrissa Hartington,Indianapolis,Indiana,46278,+1 317 181 8637,3.7,14,dental,Pediatric Dentist,FALSE,2.9
D51672-1294,Dr. Hastie Baldrick,Durham,North Carolina,27705,+1 434 612 3138,4.8,44,dental,Periodontist,TRUE,3.8
D66302-467,Dr. Audra Banger,Ann Arbor,Michigan,48107,+1 734 922 2926,2.6,17,dental,Prosthodontist,TRUE,3.7
D0409-0186,Dr. Benji Neillans,El Paso,Texas,79994,+1 915 435 4337,2,39,dental,Dentist,FALSE,3.3
D0574-0220,Dr. Ware Siemianowicz,Sioux Falls,South Dakota,57105,+1 605 854 8109,2.2,19,dental,Endodontist,TRUE,2.7
D16781-375,Dr. Jackie O'Shevlan,Madison,Wisconsin,53790,+1 608 996 7759,3.6,50,dental,Maxillofacial Surgeon,FALSE,3.1
D68472-100,Dr. Ester Dyne,Buffalo,New York,14233,+1 716 823 2575,4.3,34,dental,Oral Surgeon,FALSE,1.4
D54569-0574,Dr. Hilliard Pahl,Amarillo,Texas,79118,+1 806 846 9053,4.5,42,dental,Endodontist,TRUE,2.4
D0186-0370,Dr. Alister Coopman,Portland,Oregon,97216,+1 503 628 3927,4.3,24,dental,Endodontist,FALSE,3.9
D63629-1595,Dr. Briant Di Franceschi,Daytona Beach,Florida,32123,+1 386 592 7020,1.8,9,dental,Maxillofacial Surgeon,TRUE,2.6
D0085-0370,Dr. Alysa McMeanma,Chicago,Illinois,60697,+1 312 738 0115,2.5,36,dental,Oral Surgeon,FALSE,3.5
D58503-044,Dr. Alexander Jewel,Tulsa,Oklahoma,74126,+1 918 831 2771,2.1,25,dental,Orthodontist,TRUE,2.8
D0002-8215,Dr. Chen Tierny,Huntington,West Virginia,25721,+1 304 767 0456,1.5,21,dental,Pediatric Dentist,FALSE,4
D42254-055,Dr. Doro Colleran,Miami,Florida,33180,+1 786 653 0824,2.2,34,dental,Periodontist,FALSE,3.6
D0615-2302,Dr. Jacquelyn Roger,Madison,Wisconsin,53710,+1 608 392 2801,2.5,5,dental,Prosthodontist,FALSE,3.8
D0054-0121,Dr. Teddy Lawrenson,Sacramento,California,94250,+1 916 405 0200,4.7,31,dental,Dentist,TRUE,3.9
D68737-224,Dr. Laure Hinkens,Roanoke,Virginia,24024,+1 540 907 4662,2.2,9,dental,Endodontist,TRUE,3.6
D47335-819,Dr. Kamillah Aubert,Milwaukee,Wisconsin,53277,+1 414 349 8483,2.9,43,dental,Maxillofacial Surgeon,TRUE,2.1
D60840-0300,Dr. Dorotea O'Sirin,Charlotte,North Carolina,28299,+1 704 751 2453,3.7,45,dental,Oral Surgeon,FALSE,1.2
D51079-865,Dr. Catharina Lawry,Boulder,Colorado,80328,+1 303 366 5848,4,1,dental,Orthodontist,TRUE,3.6
D0113-0397,Dr. Josefina Worge,Minneapolis,Minnesota,55446,+1 763 105 0486,3.6,5,dental,Pediatric Dentist,FALSE,3.9
D49348-163,Dr. Loreen Bridgestock,Baltimore,Maryland,21275,+1 410 344 9964,1.7,41,dental,Periodontist,FALSE,2.6
D55154-3480,Dr. Hayes Pinfold,Arlington,Texas,76016,+1 972 471 4079,2,43,dental,Prosthodontist,TRUE,3.1
D58118-0478,Dr. Jania Tokley,Baton Rouge,Louisiana,70810,+1 225 491 1092,1.8,31,dental,Dentist,FALSE,2.2
D55154-4979,Dr. Carmela Drew,Cincinnati,Ohio,45228,+1 513 197 3742,1.6,12,dental,Endodontist,TRUE,3.3
D10019-105,Dr. Antonella Norster,Des Moines,Iowa,50335,+1 515 396 7685,1,22,dental,Maxillofacial Surgeon,TRUE,1.2
D59779-999,Dr. Kip Huddlestone,Atlanta,Georgia,30340,+1 678 470 4983,2,29,dental,Oral Surgeon,FALSE,1.1
D0904-5754,Dr. Myer Daldan,Jackson,Mississippi,39210,+1 601 399 8419,1.6,20,dental,Endodontist,FALSE,1.2
D68645-458,Dr. Chloette Birwhistle,Fargo,North Dakota,58106,+1 701 569 7664,1.4,38,dental,Maxillofacial Surgeon,TRUE,1.3
D55154-4757,Dr. Lesley Stephenson,Salt Lake City,Utah,84199,+1 801 732 8984,1.6,12,dental,Oral Surgeon,TRUE,3.2
D49349-308,Dr. Jennie Crauford,Odessa,Texas,79764,+1 432 896 9108,1.9,49,dental,Orthodontist,FALSE,1.8
D44738-5001,Dr. Ilsa Walenta,Fort Pierce,Florida,34981,+1 772 484 3960,5,31,dental,Pediatric Dentist,FALSE,2.2
D57597-043,Dr. Aundrea Glassborow,New York City,New York,10110,+1 646 147 4473,3.2,42,dental,Periodontist,FALSE,1.3
D58232-0063,Dr. Bradley Snassell,Fort Lauderdale,Florida,33330,+1 954 868 2998,4.7,37,dental,Prosthodontist,FALSE,3.6
D0378-4022,Dr. Klarrisa Ranklin,Madison,Wisconsin,53779,+1 608 590 1618,4.8,35,dental,Dentist,FALSE,2.8
D61657-0967,Dr. Christyna McPherson,Maple Plain,Minnesota,55579,+1 952 408 5804,3.7,5,dental,Endodontist,FALSE,3.6
D47242-0081,Dr. Susana Spinola,San Antonio,Texas,78265,+1 210 558 5520,2.5,38,dental,Maxillofacial Surgeon,FALSE,2.8
D48951-9026,Dr. Felicia Cullimore,Dallas,Texas,75358,+1 214 381 4485,2.7,14,dental,Oral Surgeon,FALSE,2.9
D36987-3128,Dr. Lonnie Cayley,Knoxville,Tennessee,37995,+1 865 320 4432,4.6,48,dental,Orthodontist,FALSE,3.9
D59970-048,Dr. Jaine Stoller,Tacoma,Washington,98442,+1 253 706 7166,2.1,14,dental,Pediatric Dentist,FALSE,3.7
D66992-399,Dr. Remy Adamski,Nashville,Tennessee,37210,+1 615 102 9026,1,17,dental,Periodontist,TRUE,1.7
D63824-360,Dr. Tanya Cashley,Indianapolis,Indiana,46278,+1 317 299 7292,2.5,47,dental,Prosthodontist,TRUE,2.6
D63739-119,Dr. Amalie Mose,New York City,New York,10039,+1 646 628 8207,2.7,7,dental,Dentist,TRUE,3.3
D37000-698,Dr. Tamiko Harrad,Louisville,Kentucky,40210,+1 502 708 9429,4.1,10,dental,Endodontist,TRUE,1.7
D42254-055,Dr. Rogerio Bridgman,Saint Louis,Missouri,63143,+1 314 522 3328,3,48,dental,Maxillofacial Surgeon,TRUE,1.7
D52125-151,Dr. Bennie Rugge,Atlanta,Georgia,31190,+1 404 864 9767,2,34,dental,Oral Surgeon,TRUE,1.2
D21695-829,Dr. Ninnetta Probart,New Haven,Connecticut,6533,+1 203 975 3892,2.5,34,dental,Endodontist,TRUE,2.7
D54868-5202,Dr. Xena Lansdale,Evansville,Indiana,47705,+1 812 996 5395,4.6,2,dental,Maxillofacial Surgeon,TRUE,2.4
D43742-0136,Dr. Norrie Roycraft,Denver,Colorado,80299,+1 303 627 6048,3.9,8,dental,Oral Surgeon,TRUE,2.3
D0179-0063,Dr. Yettie O'Hegertie,Troy,Michigan,48098,+1 248 959 8804,1.1,34,dental,Orthodontist,TRUE,2.3
D36800-323,Dr. Jaquenette Gillani,Augusta,Georgia,30919,+1 706 887 7421,1.7,4,dental,Pediatric Dentist,TRUE,2.7
D65044-6588,Dr. Papagena Ivakhno,Seattle,Washington,98115,+1 206 856 3994,3.7,39,dental,Periodontist,FALSE,2.8
